concept_cd
AEMPS:001041
AEMPS:001054
AEMPS:001059
AEMPS:001061
AEMPS:001063
AEMPS:193381000140103
AEMPS:301000140103
AEMPS:319283006
AEMPS:322623000
AEMPS:323014008
AEMPS:329367009
AEMPS:370379
AEMPS:504218
AEMPS:504285
AEMPS:504551
AEMPS:607007
AEMPS:68481000140106
AEMPS:92981000140100
ATC:*
ATC:null
ATC:Y2000
ES_12OCT_AP_TOP:100
ES_12OCT_AP_TOP:1000
ES_12OCT_AP_TOP:11410
ES_12OCT_AP_TOP:4000
ES_12OCT_AP_TOP:6000
ES_12OCT_AP_TOP:8000
ES_12OCT_AP_TOP:8010
ES_12OCTUBRE_DIAG:20050635
ES_12OCTUBRE_DIAG:20053032
ES_12OCTUBRE_DIAG:20053399
ES_12OCTUBRE_DIAG:20054068
ES_12OCTUBRE_DIAG:20055311
ES_12OCTUBRE_DIAG:20058118
ES_12OCTUBRE_DIAG:20058340
ES_12OCTUBRE_DIAG:20058353
ES_12OCTUBRE_DIAG:20058606
ES_12OCTUBRE_DIAG:20058637
ES_12OCTUBRE_DIAG:20058846
ES_12OCTUBRE_DIAG:20058871
ES_12OCTUBRE_DIAG:20059930
ES_12OCTUBRE_DIAG:20059931
ES_12OCTUBRE_DIAG:20060139
ES_12OCTUBRE_DIAG:20060303
ES_12OCTUBRE_DIAG:20060400
ES_12OCTUBRE_DIAG:20060864
ES_12OCTUBRE_DIAG:20060883
ES_12OCTUBRE_DIAG:20060885
ES_12OCTUBRE_DIAG:20060899
ES_12OCTUBRE_DIAG:20061063
ES_12OCTUBRE_DIAG:20061064
ES_12OCTUBRE_DIAG:20061065
ES_12OCTUBRE_DIAG:20061070
ES_12OCTUBRE_DIAG:20061075
ES_12OCTUBRE_DIAG:20061081
ES_12OCTUBRE_DIAG:20061084
ES_12OCTUBRE_DIAG:20061098
ES_12OCTUBRE_DIAG:20061099
ES_12OCTUBRE_DIAG:20061100
ES_12OCTUBRE_DIAG:20061107
ES_12OCTUBRE_DIAG:20061112
